KEY,zh-tw,en,zh-cn
SignIn88,登入中,Logging in,登录中
SignIn89,解除綁定成功,Successfully unlinked,解除绑定成功
SignIn90,此帳號已綁定其他Sixfast帳號，請先解綁,This account has linked to a Sixfast account. Please unlink first.,此账号已绑定其他Sixfast账号，请先解绑
SignIn91,暱稱最長不超過15個字元哦,The nickname length can't exceed 15 characters.,昵称最长不超过15个字符哦
SignIn92,暱稱不能含敏感字彙或特殊字元哦,Nickname can't include sensitive words or special characters.,昵称不能含敏感词汇或特殊字符哦
SignIn93,請先綁定手機或信箱,Please link the phone number or email.,请先绑定手机或邮箱
SignIn94,實名認證,Real-name Authentication,实名认证
SignIn95,已認證,Authenticated,已认证
SignIn96,要解除與帳號xxx的綁定嗎,Remove the link to xxx Account?,要解除与账号xxx的绑定吗
SignIn97,確定,Confirm,确定
SignIn98,取消,Cancel,取消
SignIn99,普通,Ordinary,普通
SignIn100,圖片大小必須小於10MB,The picture size must be below 10MB.,图片大小必须小于10MB
SignIn101,圖片解析度必須小於2560*2560,The picture resolution must be below 2560*2560.,图片分辨率必须小于2560*2560
SignIn102,編輯頭像,Edit Avatar,编辑头像
SignIn103,重新上傳,Reupload,重新上传
SignIn104,註冊成功,Successfully registered,注册成功
SignIn105,立即註冊,Register now,立即注册
SignIn106,該用戶名已存在，請直接登入,"User Name registered, please log in directly.",该用户名已存在，请直接登录
SignIn107,該郵箱帳號已存在，請直接登入,"Email account registered, please log in.",该邮箱账号已存在，请直接登录
SignIn108,再次發送,Resend,再次发送
SignIn109,驗證碼已發送，請查收,"Verification code sent, please check it out.",验证码已发送，请查收
SignIn110,請輸入正確的手機號,Please enter the correct phone number.,请输入正确的手机号
SignIn111,手機號碼不能為空,Phone number can't be empty.,手机号不能为空
SignIn112,請輸入正確的信箱帳號,Please enter the correct email account.,请输入正确的邮箱账号
SignIn113,哎呀~到底了,Uh～ You hit the bottom.,哎呀~到底了
SignIn114,沒有更早的消息了,No earlier news,没有更早的消息了
SignIn115,請聯絡客服,Please contact customer service.,请联系客服
SignIn116,認證成功,Successfully authenticated,认证成功
SignIn117,根據相關法律法規的規定，您需要透過實名認證後方可使用我們的部分服務,"In accordance with the related laws and regulations, you must finish the real-name authentication to use some of our services.",根据相关法律法规的规定，您需要通过实名认证后方可使用我们的部分服务
SignIn118,真實姓名,Real Name,真实姓名
SignIn119,姓名不能為空,Name can't be empty.,姓名不能为空
SignIn120,姓名格式錯誤，請確認填寫的資料是否正確,"Name format error, please check the entered info.",姓名格式错误，请确认填写的信息是否正确
SignIn121,請輸入您的真實姓名,Please enter your real name.,请输入您的真实姓名
SignIn122,身分證號,ID Number,身份证号
SignIn123,身分證號碼不能為空,ID Number can't be empty.,身份证号不能为空
SignIn124,"身分證字號錯誤,請確認填寫的資料是否正確","Incorrect ID Number, please check the entered info.","身份证号错误,请确认填写的信息是否正确"
SignIn125,請輸入您的身分證號,Please enter your ID Number.,请输入您的身份证号
SignIn126,立即認證,Authenticate Now,立即认证
SignIn127,安全保障中，資訊僅用於身分確認,The info is secured and can only be used for id verification.,安全保障中，信息仅用于身份确认
SignIn128,未使用,Unused,未使用
SignIn129,已使用,Used,已使用
SignIn130,已過期,Expired,已过期
SignIn131,我的卡包,My Card Holder,我的卡包
SignIn132,暫無卡券,No cards or coupons for now,暂无卡券
SignIn133,小時,Hour,小时
SignIn134,分,Minute,分
SignIn135,後將過期,xxx till expiration,后将过期
SignIn136,滿,Full,满
SignIn137,可用,Available,可用
SignIn138,立減,Directly save,立减
SignIn139,立即使用,Use now,立即使用
SignIn140,折,Off,折
SignIn141,優惠券即將過期,The coupon is about to expire.,优惠券即将过期
SignIn142,您還有新用戶專屬優惠券暫未使用，確認放棄？,You still have unused coupon(s) for new users. Give up?,您还有新用户专享优惠券暂未使用，确认放弃？
SignIn143,未查詢到付款完成，請稍後再試,The payment result couldn't be found. Please try again later.,未查询到支付完成，请稍后再试
SignIn144,訂單支付成功,Order paid successfully,订单支付成功
SignIn145,開啟暢玩遊戲之旅吧,Binge Gaming Now,开启畅玩游戏之旅吧
SignIn146,我知道了,Got it,我知道了
SignIn147,訂單已過期,Order expired,订单已过期
SignIn148,請重新選擇訂單,Please reselect the order.,请重新选择订单
SignIn149,掃描成功,Scanned,扫描成功
SignIn150,請於10分鐘內完成付款,Please finish the payment within 10 minutes.,请于10分钟内完成付款
SignIn151,已完成付款,Payment finished,已完成付款
SignIn152,取消支付,Cancel Payment,取消支付
SignIn153,支付遇到問題？ 請聯繫,Met a problem with payment? Please contact xxx,支付遇到问题？请联系
SignIn154,行銷QQ,Marketing QQ,营销QQ
SignIn155,自動續費套餐暫時不支援paypal、微信購買,Auto-renewal Package can't be purchased via Paypal or WeChat for now.,自动续费套餐暂不支持paypal、微信购买
SignIn156,僅支援支付寶掃碼支付,Only supports Alipay QR Code Payment.,仅支持支付宝扫码支付
SignIn157,僅支援微信掃碼支付,Only supports WeChat QR Code Payment.,仅支持微信扫码支付
SignIn158,點擊此處查看更多套餐,Click here to learn about more packages.,点击此处可查看更多套餐
SignIn159,小時,Hour,小时
SignIn160,分分鐘,Minute,分钟
SignIn161,秒後消失,xxx seconds till disappearance,秒后消失
SignIn162,遊戲會員尊享8大特權,Game members enjoy 8 privileges,游戏会员尊享8大特权
SignIn163,穩定降低遊戲延遲,Stable and low game lag,稳定降低游戏延迟
SignIn164,全球遊戲加速,Global game speedup,全球游戏加速
SignIn165,4000+電競級專線,4000+ exclusive esports lines,4000+电竞级专线
SignIn166,遊戲直播、遊戲翻譯、客製專線,"Game streaming, game translation, custom lines",游戏直播、游戏翻译、定制专线
SignIn167,支援PC、行動、Mac、電視,"Support PC, mobile devices, Mac, and televisions.",支持PC、移动、Mac、电视
SignIn168,可5台設備在線,Logged in on 5 devices simultaneously,可5台设备在线
SignIn169,支援1V1人工客服,1V1 manual customer support,支持1V1人工客服
SignIn170,二維碼已過期,Qrcode expired,二维码已过期
SignIn171,點擊刷新,Click refresh,点击刷新
SignIn172,已減,Reduced,已减
SignIn173,總計,Total,总计
SignIn174,現僅需,Now only need,现仅需
SignIn175,請輸入兌換碼,Enter REDEEM CODE,请输入兑换码
SignIn176,大於,More than,大于
SignIn177,小於,Below,小于
SignIn178,試用,Try it,试用
SignIn179,中國大陸,Chinese mainland,中国大陆
SignIn180,中國香港,China Hong Kong,中国香港
SignIn181,中國台灣,"Taiwan, China",中国台湾
SignIn182,美國,USA,美国
SignIn183,阿爾巴尼亞,Albania,阿尔巴尼亚
SignIn184,阿爾及利亞,Algeria,阿尔及利亚
SignIn185,阿富汗,Afghanistan,阿富汗
SignIn186,阿根廷,Argentina,阿根廷
SignIn187,阿聯酋,United Arab Emirates,阿联酋
SignIn188,阿魯巴,Aruba,阿鲁巴
SignIn189,阿曼,Oman,阿曼
SignIn190,亞塞拜然,Azerbaijan,阿塞拜疆
SignIn191,埃及,Egypt,埃及
SignIn192,衣索比亞,Ethiopia,埃塞俄比亚
SignIn193,愛爾蘭,Ireland,爱尔兰
SignIn194,愛沙尼亞,Estonia,爱沙尼亚
SignIn195,安道爾,Andorra,安道尔
SignIn196,安哥拉,Angola,安哥拉
SignIn197,安圭拉,Anguilla,安圭拉
SignIn198,安地卡及巴布達島,Antigua and Barbuda,安提瓜和巴布达岛
SignIn199,奧地利,Austria,奥地利
SignIn200,澳洲,Australia,澳大利亚
SignIn201,澳門,Macao,澳门
SignIn202,巴貝多,Barbados,巴巴多斯
SignIn203,巴布亞紐幾內亞,papua new guinea,巴布亚新几内亚
SignIn204,巴哈馬,Bahamas,巴哈马
SignIn205,巴基斯坦,Pakistan,巴基斯坦
SignIn206,巴拉圭,Paraguay,巴拉圭
SignIn207,巴勒斯坦,Palestine,巴勒斯坦
SignIn208,巴林,Bahrain,巴林
SignIn209,巴拿馬,Panama,巴拿马
SignIn210,巴西,Brazil,巴西
SignIn211,白俄羅斯,belarus,白俄罗斯
SignIn212,百慕達群島,bermuda islands,百慕大群岛
SignIn213,保加利亞,Bulgaria,保加利亚
SignIn214,北馬裡亞納群島,Northern Mariana Islands,北马里亚纳群岛
SignIn215,貝南,Benin,贝宁
SignIn216,比利時,Belgium,比利时
SignIn217,冰島,Iceland,冰岛
SignIn218,波多黎各,Puerto Rico,波多黎各
SignIn219,波蘭,Poland,波兰
SignIn220,波士尼亞與赫塞哥維納,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那
SignIn221,玻利維亞,Bolivia,玻利维亚
SignIn222,貝里斯,Belize,伯利兹
SignIn223,波札那,Botswana,博茨瓦纳
SignIn224,不丹,Bhutan,不丹
SignIn225,布吉納法索,Burkina Faso,布基纳法索
SignIn226,蒲隆地,Burundi,布隆迪
SignIn227,赤道幾內亞,Equatorial Guinea,赤道几内亚
SignIn228,丹麥,Denmark,丹麦
SignIn229,德國,Germany,德国
SignIn230,迭戈加西亞,Diego Garcia,迭戈加西亚
SignIn231,東帝汶,East Timor,东帝汶
SignIn232,多哥,TOGO,多哥
SignIn233,多明尼克,Dominica,多米尼克
SignIn234,多明尼加共和國,Dominican Republic,多明尼加共和国
SignIn235,俄羅斯,Russia,俄罗斯
SignIn236,厄瓜多,Ecuador,厄瓜多尔
SignIn237,法國,France,法国
SignIn238,法羅群島,faroe islands,法罗群岛
SignIn239,法屬玻里尼西亞,French Polynesia,法属波利尼西亚
SignIn240,法屬圭亞那,French Guiana,法属圭亚那
SignIn241,菲律賓,Philippines,菲律宾
SignIn242,斐濟,Fiji,斐济
SignIn243,芬蘭,Finland,芬兰
SignIn244,福克蘭群島,Falkland Islands,福克兰群岛
SignIn245,甘比亞,Gambia,冈比亚
SignIn246,剛果,Congo,刚果
SignIn247,剛果金,Democratic Republic of the Congo,刚果金
SignIn248,哥倫比亞,Colombia,哥伦比亚
SignIn249,哥斯大黎加,costa rica,哥斯达黎加
SignIn250,格瑞那達,Greneda,格林纳达
SignIn251,格陵蘭島,Greenland,格陵兰岛
SignIn252,古巴,cuba,古巴
SignIn253,瓜德羅普島,Guadeloupe,瓜德罗普岛
SignIn254,關島,Guam,关岛
SignIn255,蓋亞那,Guyana,圭亚那
SignIn256,哈薩克,Kazakhstan,哈萨克斯坦
SignIn257,海地,Haiti,海地
SignIn258,韓國,South Korea,韩国
SignIn259,荷蘭,Netherlands,荷兰
SignIn260,荷屬安的列斯群島,Netherlands Antilles,荷属安的列斯群岛
SignIn261,蒙特內哥羅,Montenegro,黑山
SignIn262,宏都拉斯,Honduras,洪都拉斯
SignIn263,吉布地,Djibouti,吉布提
SignIn264,吉爾吉斯斯坦,Kyrgyzstan,吉尔吉斯斯坦
SignIn265,幾內亞,Guinea,几内亚
SignIn266,幾內亞比紹,Guinea-Bissau,几内亚比绍
SignIn267,加拿大,Canada,加拿大
SignIn268,迦納,Ghana,加纳
SignIn269,加彭,Gabon,加蓬
SignIn270,柬埔寨,Cambodia,柬埔寨
SignIn271,捷克共和國,Czech Republic,捷克共和国
SignIn272,辛巴威,Zimbabwe,津巴布韦
SignIn273,喀麥隆,Cameroon,喀麦隆
SignIn274,卡達,Qatar,卡塔尔
SignIn275,開曼群島,Cayman Islands,开曼群岛
SignIn276,葛摩,Comoros,科摩罗
SignIn277,科索沃,Kosovo,科索沃
SignIn278,科特迪瓦,Cote d'Ivoire,科特迪瓦
SignIn279,科威特,Kuwait,科威特
SignIn280,克羅埃西亞,Croatia,克罗地亚
SignIn281,肯亞,Kenya,肯尼亚
SignIn282,庫克群島,Island,库克群岛
SignIn283,拉脫維亞,Latvia,拉脱维亚
SignIn284,賴索托,Lesotho,莱索托
SignIn285,寮國,Laos,老挝
SignIn286,黎巴嫩,lebanon,黎巴嫩
SignIn287,立陶宛,Lithuania,立陶宛
SignIn288,賴比瑞亞,Liberia,利比里亚
SignIn289,利比亞,Libya,利比亚
SignIn290,列支敦斯登,Liechtenstein,列支敦士登
SignIn291,留尼旺,Reunion,留尼旺
SignIn292,盧森堡,Luxembourg,卢森堡
SignIn293,盧安達,Rwanda,卢旺达
SignIn294,羅馬尼亞,Romania,罗马尼亚
SignIn295,馬達加斯加,madagascar,马达加斯加
SignIn296,馬爾地夫,Maldives,马尔代夫
SignIn297,馬爾他,malta,马耳他
SignIn298,馬拉威,Malawi,马拉维
SignIn299,馬來西亞,Malaysia,马来西亚
SignIn300,馬裡,Mali,马里
SignIn301,馬其頓,macedonia,马其顿
SignIn302,馬提尼克,Martinique,马提尼克
SignIn303,模里西斯,Mauritius,毛里求斯
SignIn304,茅利塔尼亞,mauritania,毛里塔尼亚
SignIn305,美國薩摩亞,American Samoa,美国萨摩亚
SignIn306,美屬維珍群島,U.S. Virgin Islands,美属维珍群岛
SignIn307,蒙古,Mongolia,蒙古
SignIn308,蒙特塞拉特島,Montserrat Island,蒙特塞拉特岛
SignIn309,孟加拉,Bangladesh,孟加拉国
SignIn310,秘魯,Peru,秘鲁
SignIn311,緬甸,Myanmar,缅甸
SignIn312,摩爾多瓦,Moldovan,摩尔多瓦
SignIn313,摩洛哥,Morocco,摩洛哥
SignIn314,摩納哥,Monaco,摩纳哥
SignIn315,莫三比克,Mozambique,莫桑比克
SignIn316,墨西哥,Mexico,墨西哥
SignIn317,納米比亞,Namibia,纳米比亚
SignIn318,南非,South Africa,南非
SignIn319,南蘇丹,South Sudan,南苏丹
SignIn320,諾魯,Nauru,瑙鲁
SignIn321,尼加拉瓜,Nicaragua,尼加拉瓜
SignIn322,尼泊爾,Nepal,尼泊尔
SignIn323,尼日,Niger,尼日尔
SignIn324,奈及利亞,Nigeria,尼日利亚
SignIn325,挪威,Norway,挪威
SignIn326,諾福克島,norfolk island,诺福克岛
SignIn327,帛琉,Palau,帕劳
SignIn328,葡萄牙,Portugal,葡萄牙
SignIn329,喬丹,Jordan,乔丹
SignIn330,日本,Japan,日本
SignIn331,瑞典,Sweden,瑞典
SignIn332,瑞士,Switzerland,瑞士
SignIn333,薩爾瓦多,El Salvador,萨尔瓦多
SignIn334,薩摩亞,Samoa,萨摩亚
SignIn335,塞爾維亞,Serbia,塞尔维亚
SignIn336,獅子山,Sierra Leone,塞拉利昂
SignIn337,塞內加爾,Senegal,塞内加尔
SignIn338,賽普勒斯,Cyprus,塞浦路斯
SignIn339,塞席爾,Seychelles,塞舌尔
SignIn340,沙烏地阿拉伯,Saudi Arabia,沙特阿拉伯
SignIn341,聖彼埃爾和密克隆島,Saint Pierre and Miquelon,圣彼埃尔和密克隆岛
SignIn342,聖多美和普林西比,Sao Tome and Príncipe,圣多美和普林西比
SignIn343,聖克里斯多福及尼維斯,Saint Kitts and Nevis,圣基茨和尼维斯
SignIn344,聖露西亞,saint lucia,圣露西亚
SignIn345,聖馬利諾,san marino,圣马力诺
SignIn346,聖文森及格瑞那丁,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯
SignIn347,斯里蘭卡,Sri Lanka,斯里兰卡
SignIn348,斯洛伐克,Slovakia,斯洛伐克
SignIn349,斯洛維尼亞,slovenia,斯洛文尼亚
SignIn350,史瓦濟蘭,Swaziland,斯威士兰
SignIn351,蘇丹,Sudan,苏丹
SignIn352,蘇利南,Surinam,苏里南
SignIn353,索馬利亞,somalia,索马里
SignIn354,塔吉克,Tajikistan,塔吉克斯坦
SignIn355,泰國,Thailand,泰国
SignIn356,坦尚尼亞,Tanzania,坦桑尼亚
SignIn357,東加,Tonga,汤加
SignIn358,特克斯和凱科斯群島,Turks and Caicos Islands,特克斯和凯科斯群岛
SignIn359,千里達及托巴哥,Trinidad and Tobago,特立尼达和多巴哥
SignIn360,突尼西亞,Tunisia,突尼斯
SignIn361,土耳其,Türkiye,土耳其
SignIn362,土庫曼,Turkmenistan,土库曼斯坦
SignIn363,瓦利斯和福圖納島,Wallis and Fortuna Islands,瓦利斯和福图纳岛
SignIn364,萬那杜,Vanuatu,瓦努阿图
SignIn365,瓜地馬拉,Guatemala,危地马拉
SignIn366,委內瑞拉,Venezuela,委内瑞拉
SignIn367,汶萊達魯薩蘭國,Brunei Darussalam,文莱达鲁萨兰国
SignIn368,烏幹達,Uganda,乌干达
SignIn369,烏克蘭,Ukraine,乌克兰
SignIn370,烏拉圭,Uruguay,乌拉圭
SignIn371,烏茲別克,Uzbekistan,乌兹别克斯坦
SignIn372,西班牙,Spain,西班牙
SignIn373,希臘,Greece,希腊
SignIn374,新加坡,Singapore,新加坡
SignIn375,新喀裡多尼亞,new caledonia,新喀里多尼亚
SignIn376,匈牙利,Hungary,匈牙利
SignIn377,敘利亞,Syria,叙利亚
SignIn378,牙買加,jamaica,牙买加
SignIn379,亞美尼亞,Armenia,亚美尼亚
SignIn380,葉門,Yemen,也门
SignIn381,伊拉克,Iraq,伊拉克
SignIn382,伊朗,Iran,伊朗
SignIn383,以色列,Israel,以色列
SignIn384,義大利,Italy,意大利
SignIn385,印度,India,印度
SignIn386,印尼,Indonesia,印度尼西亚
SignIn387,英國,United Kingdom,英国
SignIn388,英屬維京群島,british virgin islands,英属维京群岛
SignIn389,越南,Vietnam,越南
SignIn390,尚比亞,Zambia,赞比亚
SignIn391,查德,Chad,乍得
SignIn392,直布羅陀,Gibraltar,直布罗陀
SignIn393,智利,Chile,智利
SignIn394,中非共和國,central african republic,中非共和国
SignIn395,喬治亞州,Georgia,佐治亚州
